product_title	product_vendor	product_type	shipping_country	shipping_region	net_quantity	gross_sales	discounts	returns	net_sales	taxes	total_sales	State
Guru Series II Grey & Orange Spool (Legacy)	Waterworks Lamson	Reels	United States	Rhode Island	1	100.79	0	0	100.79	0	100.79	RI
Liquid/Remix Vapor Spool (Legacy)	Waterworks Lamson	Reels	United States	Rhode Island	1	47.99	0	0	47.99	0	47.99	RI
Ketchum ReleaseÂ®	Waterworks Lamson	Accessories	United States	Rhode Island	1	19.99	0	0	19.99	0	19.99	RI
Neoprene Reel Case	Waterworks Lamson	Accessories	United States	Rhode Island	1	14.99	0	0	14.99	0	14.99	RI
Liquid	Waterworks Lamson	Reels	United States	South Carolina	11	1519.5	0	-83.99	1435.51	0	1435.51	SC
Liquid 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	South Carolina	4	743.52	-87.99	0	655.53	0	655.53	SC
Remix	Waterworks Lamson	Reels	United States	South Carolina	3	527.97	0	0	527.97	0	527.97	SC
Remix S	LAMSON	Reels	United States	South Carolina	2	479.98	0	0	479.98	0	479.98	SC
Radius	Waterworks Lamson	Rods	United States	South Carolina	1	429.99	0	0	429.99	0	429.99	SC
Litespeed M	Waterworks Lamson	Reels	United States	South Carolina	1	699.99	-279.99	0	420	0	420	SC
Liquid / Remix Spool	Waterworks Lamson	Reels	United States	South Carolina	6	325.04	0	0	325.04	0	325.04	SC
Litespeed F	Waterworks Lamson	Reels	United States	South Carolina	1	539.99	-216	0	323.99	0	323.99	SC
Speedster Spool (Legacy)	Waterworks Lamson	Reels	United States	South Carolina	2	313.58	0	0	313.58	0	313.58	SC
Speedster Grey & Orange (Legacy)	Waterworks Lamson	Reels	United States	South Carolina	1	300.99	0	0	300.99	0	300.99	SC
Guru S	Waterworks Lamson	Reels	United States	South Carolina	1	299.99	0	0	299.99	0	299.99	SC
Liquid Black (Legacy)	Waterworks Lamson	Reels	United States	South Carolina	3	293.97	0	0	293.97	0	293.97	SC
Guru Series II Spool (Legacy)	Waterworks Lamson	Reels	United States	South Carolina	2	191.98	0	0	191.98	0	191.98	SC
Litespeed Alox II Spool (Legacy)	Waterworks Lamson	Reels	United States	South Carolina	1	127.99	0	0	127.99	0	127.99	SC
Liquid/Remix Black Spool (Legacy)	Waterworks Lamson	Reels	United States	South Carolina	1	47.99	0	0	47.99	0	47.99	SC
Neoprene Reel Case	Waterworks Lamson	Accessories	United States	South Carolina	3	44.97	0	0	44.97	0	44.97	SC
Fly Rod Sock 4 Piece Rod	Waterworks Lamson	Accessories	United States	South Carolina	1	19.99	0	0	19.99	0	19.99	SC
Multi Reel Case	Waterworks Lamson	Accessories	United States	South Carolina	1	19.99	0	0	19.99	0	19.99	SC
Color Sleeves	Waterworks Lamson	Accessories	United States	South Carolina	1	19.98	0	-9.99	9.99	0	9.99	SC
Logo Die Cut Decal - 12"	Waterworks Lamson	Accessories	United States	South Carolina	2	9.98	0	0	9.98	0	9.98	SC
Mini Bumper Sticker	LAMSON	Accessories	United States	South Carolina	2	3	0	0	3	0	3	SC
Logo Sticker	Waterworks Lamson	Accessories	United States	South Carolina	2	1.98	0	0	1.98	0	1.98	SC
Rectangle Sticker	LAMSON		United States	South Carolina	1	1.5	0	0	1.5	0	1.5	SC
Round Sticker	LAMSON	Accessories	United States	South Carolina	1	1.5	0	0	1.5	0	1.5	SC
Litespeed Series IV Spool (Legacy)	Waterworks Lamson	Reels	United States	South Carolina	0	156.79	0	-156.79	0	0	0	SC
Guru S Spool	waterworks-lamson	Reels	United States	South Dakota	2	349.98	0	0	349.98	0	349.98	SD
Remix 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	South Dakota	1	329.99	0	0	329.99	0	329.99	SD
Liquid 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	South Dakota	1	269.99	0	0	269.99	0	269.99	SD
Remix	Waterworks Lamson	Reels	United States	South Dakota	1	179.99	0	0	179.99	0	179.99	SD
Liquid	Waterworks Lamson	Reels	United States	South Dakota	1	139.99	0	0	139.99	0	139.99	SD
Liquid	Waterworks Lamson	Reels	United States	Tennessee	19	2123.75	0	0	2123.75	0	2123.75	TN
Liquid 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Tennessee	8	1456.5	0	0	1456.5	0	1456.5	TN
Remix	Waterworks Lamson	Reels	United States	Tennessee	7	1136.93	-8.56	0	1128.37	0	1128.37	TN
Guru S	Waterworks Lamson	Reels	United States	Tennessee	4	1199.96	-119.99	0	1079.97	0	1079.97	TN
Remix 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Tennessee	5	986.71	0	0	986.71	0	986.71	TN
Centerfire	Waterworks Lamson	Reels	United States	Tennessee	2	979.98	-191.99	0	787.99	0	787.99	TN
Speedster S	Waterworks Lamson	Reels	United States	Tennessee	2	779.98	-155.99	0	623.99	0	623.99	TN
Litespeed F Spool	Waterworks Lamson	Reels	United States	Tennessee	2	559.98	0	0	559.98	0	559.98	TN
Speedster S - Select Color 2023	waterworks-lamson	Reels	United States	Tennessee	1	489.99	0	0	489.99	0	489.99	TN
Velocity	Waterworks Lamson	Rods	United States	Tennessee	1	429.99	0	0	429.99	0	429.99	TN
ULA Purist	waterworks-lamson	Reels	United States	Tennessee	1	399.99	0	0	399.99	0	399.99	TN
Guru S HD	Waterworks Lamson	Reels	United States	Tennessee	1	329.99	0	0	329.99	0	329.99	TN
Liquid/Remix Vapor Spool (Legacy)	Waterworks Lamson	Reels	United States	Tennessee	6	327.94	0	0	327.94	0	327.94	TN
Liquid / Remix Spool	Waterworks Lamson	Reels	United States	Tennessee	5	309.91	0	0	309.91	0	309.91	TN
Liquid S	LAMSON	Reels	United States	Tennessee	2	299.98	0	0	299.98	0	299.98	TN
Neoprene Reel Case	Waterworks Lamson	Accessories	United States	Tennessee	17	242.83	0	0	242.83	0	242.83	TN
Liquid Vapor (Legacy)	Waterworks Lamson	Reels	United States	Tennessee	2	223.98	0	0	223.98	0	223.98	TN
Litespeed G5 Bronze Spool (Legacy)	Waterworks Lamson	Reels	United States	Tennessee	1	143.99	0	0	143.99	0	143.99	TN
Litespeed Alox II Spool (Legacy)	Waterworks Lamson	Reels	United States	Tennessee	1	135.99	0	0	135.99	0	135.99	TN
Liquid Black (Legacy)	Waterworks Lamson	Reels	United States	Tennessee	1	97.99	0	0	97.99	0	97.99	TN
Guru Series II Spool (Legacy)	Waterworks Lamson	Reels	United States	Tennessee	1	95.99	0	0	95.99	0	95.99	TN
Beach Comber T-Shirt - Light Yellow	LAMSON	Apparel	United States	Tennessee	2	59.98	0	0	59.98	0	59.98	TN
Fly Rod Sock 4 Piece Rod	Waterworks Lamson	Accessories	United States	Tennessee	2	39.98	0	0	39.98	0	39.98	TN
Ketchum ReleaseÂ®	Waterworks Lamson	Accessories	United States	Tennessee	2	39.98	0	0	39.98	0	39.98	TN
EVA Hard Case	waterworks-lamson		United States	Tennessee	1	30	0	0	30	0	30	TN
Fleet Trucker Hat - Birch	LAMSON	Apparel	United States	Tennessee	1	29.99	0	0	29.99	0	29.99	TN
Men's Short Sleeve Shirt	Waterworks Lamson	Accessories	United States	Tennessee	1	29.99	0	0	29.99	0	29.99	TN
Color Sleeves	Waterworks Lamson	Accessories	United States	Tennessee	1	9.99	0	0	9.99	0	9.99	TN
Logo Sticker	Waterworks Lamson	Accessories	United States	Tennessee	3	2.97	0	0	2.97	0	2.97	TN
Liquid 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Texas	19	3584.32	0	-155.99	3428.33	0	3428.33	TX
Liquid	Waterworks Lamson	Reels	United States	Texas	27	3690.6	0	-465.97	3224.63	0	3224.63	TX
Remix 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Texas	11	2957.88	-157.73	-179.99	2620.16	0	2620.16	TX
Speedster S - Select Color 2023	waterworks-lamson	Reels	United States	Texas	6	2449.94	0	0	2449.94	0	2449.94	TX
ULA Force	waterworks-lamson	Reels	United States	Texas	3	1819.97	0	0	1819.97	0	1819.97	TX
Velocity	Waterworks Lamson	Rods	United States	Texas	4	1719.96	-171.99	0	1547.97	0	1547.97	TX
Guru S	Waterworks Lamson	Reels	United States	Texas	5	1539.95	-120	0	1419.95	0	1419.95	TX
Radius	Waterworks Lamson	Rods	United States	Texas	3	1289.97	0	0	1289.97	0	1289.97	TX
Force SL Series II	Waterworks Lamson	Reels	United States	Texas	2	1219.98	0	0	1219.98	0	1219.98	TX
Force SL Series II Spool	Waterworks Lamson	Reels	United States	Texas	4	1139.96	0	0	1139.96	0	1139.96	TX
Litespeed F	Waterworks Lamson	Reels	United States	Texas	2	1089.98	0	0	1089.98	0	1089.98	TX
Remix	Waterworks Lamson	Reels	United States	Texas	6	1550.92	-149.99	-335.63	1065.3	0	1065.3	TX
Centerfire	Waterworks Lamson	Reels	United States	Texas	2	959.98	0	0	959.98	0	959.98	TX
Cobalt	Waterworks Lamson	Rods	United States	Texas	2	959.98	0	0	959.98	0	959.98	TX
Speedster S Spool	Waterworks Lamson	Reels	United States	Texas	6	1269.94	-414.96	0	854.98	0	854.98	TX
Speedster S	Waterworks Lamson	Reels	United States	Texas	4	1659.96	-829.99	0	829.97	0	829.97	TX
ULA Purist	waterworks-lamson	Reels	United States	Texas	2	1239.97	0	-419.99	819.98	0	819.98	TX
Liquid/Remix Vapor Spool (Legacy)	Waterworks Lamson	Reels	United States	Texas	12	615.88	0	0	615.88	0	615.88	TX
Remix HD	Waterworks Lamson	Reels	United States	Texas	3	583.29	0	0	583.29	0	583.29	TX
Guru S HD	Waterworks Lamson	Reels	United States	Texas	2	749.98	-209.99	0	539.99	0	539.99	TX
Centerfire Spool	Waterworks Lamson	Reels	United States	Texas	2	519.98	0	0	519.98	0	519.98	TX
Liquid Black (Legacy)	Waterworks Lamson	Reels	United States	Texas	4	391.96	0	0	391.96	0	391.96	TX
Liquid / Remix Spool	Waterworks Lamson	Reels	United States	Texas	8	441.87	0	-59.99	381.88	0	381.88	TX
Guru Series II Spool (Legacy)	Waterworks Lamson	Reels	United States	Texas	4	359.96	0	0	359.96	0	359.96	TX
Neoprene Reel Case	Waterworks Lamson	Accessories	United States	Texas	27	356.73	0	0	356.73	0	356.73	TX
Litespeed M Spool	Waterworks Lamson	Reels	United States	Texas	1	349.99	0	0	349.99	0	349.99	TX
Remix HD 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Texas	1	339.99	0	0	339.99	0	339.99	TX
Liquid Vapor (Legacy)	Waterworks Lamson	Reels	United States	Texas	3	335.97	0	0	335.97	0	335.97	TX
Liquid S	LAMSON	Reels	United States	Texas	2	319.98	0	0	319.98	0	319.98	TX
Guru S Spool	waterworks-lamson	Reels	United States	Texas	2	639.96	0	-319.98	319.98	0	319.98	TX
Ketchum ReleaseÂ®	Waterworks Lamson	Accessories	United States	Texas	16	319.84	0	0	319.84	0	319.84	TX
Litespeed G5 Blackout (Legacy)	Waterworks Lamson	Reels	United States	Texas	1	314.99	0	0	314.99	0	314.99	TX
Liquid Max	LAMSON	Reels	United States	Texas	1	299.99	0	0	299.99	0	299.99	TX
Litespeed Alox II Spool (Legacy)	Waterworks Lamson	Reels	United States	Texas	2	399.97	0	-127.99	271.98	0	271.98	TX
Guru	LAMSON	Rods	United States	Texas	1	249.99	0	0	249.99	0	249.99	TX
Remix S	LAMSON	Reels	United States	Texas	1	239.99	0	0	239.99	0	239.99	TX
Multi Reel Case	Waterworks Lamson	Accessories	United States	Texas	10	219.9	0	0	219.9	0	219.9	TX
Arx Black Spool (Legacy)	Waterworks Lamson	Reels	United States	Texas	1	168.79	0	0	168.79	0	168.79	TX
Liquid/Remix Black Spool (Legacy)	Waterworks Lamson	Reels	United States	Texas	3	167.97	0	0	167.97	0	167.97	TX
Center Axis Freshwater Spool (Legacy)	waterworks-lamson	Reels	United States	Texas	1	127.99	0	0	127.99	0	127.99	TX
Guru Series II Grey & Orange Spool (Legacy)	Waterworks Lamson	Reels	United States	Texas	1	100.79	0	0	100.79	0	100.79	TX
Fabric Bag	Waterworks Lamson	Accessories	United States	Texas	13	51.87	0	0	51.87	0	51.87	TX
Mesh Reel Bag	Waterworks Lamson	Accessories	United States	Texas	3	41.97	0	0	41.97	0	41.97	TX
Stripper Glove	Waterworks Lamson	Accessories	United States	Texas	4	39.96	0	0	39.96	0	39.96	TX
EVA Hard Case	waterworks-lamson		United States	Texas	1	54	0	-24	30	0	30	TX
Diamond Logo T-Shirt - Heathered Navy	LAMSON	Apparel	United States	Texas	1	29.99	0	0	29.99	0	29.99	TX
Beach Comber T-Shirt - Light Blue	LAMSON	Apparel	United States	Texas	1	29.99	0	0	29.99	0	29.99	TX
Horizontal Logo Black Die Cut Sticker	LAMSON	Accessories	United States	Texas	1	5	0	0	5	0	5	TX
Logo Die Cut Decal - 12"	Waterworks Lamson	Accessories	United States	Texas	1	4.99	0	0	4.99	0	4.99	TX
Logo Sticker	Waterworks Lamson	Accessories	United States	Texas	3	2.97	0	0	2.97	0	2.97	TX
Litespeed Series IV Spool (Legacy)	Waterworks Lamson	Reels	United States	Texas	0	300.78	0	-300.78	0	0	0	TX
Guru HD Spool (Legacy)	Waterworks Lamson	Reels	United States	Texas	0	103.99	0	-103.99	0	0	0	TX
Liquid 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Utah	32	5483.29	0	-249.99	5233.3	11.91	5245.21	UT
Remix 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Utah	19	4038.77	0	0	4038.77	0	4038.77	UT
Liquid	Waterworks Lamson	Reels	United States	Utah	31	3801.15	0	0	3801.15	0	3801.15	UT
Guru S	Waterworks Lamson	Reels	United States	Utah	7	2199.93	0	0	2199.93	0	2199.93	UT
Speedster S - Select Color 2023	waterworks-lamson	Reels	United States	Utah	5	2049.95	-179.99	0	1869.96	0	1869.96	UT
Remix	Waterworks Lamson	Reels	United States	Utah	11	1694.89	0	0	1694.89	0	1694.89	UT
Remix HD 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Utah	5	1539.75	0	0	1539.75	0	1539.75	UT
Litespeed F	Waterworks Lamson	Reels	United States	Utah	3	2179.96	-215.99	-539.99	1423.98	0	1423.98	UT
Litespeed M	Waterworks Lamson	Reels	United States	Utah	2	1399.98	0	0	1399.98	0	1399.98	UT
Cobalt	Waterworks Lamson	Rods	United States	Utah	3	1369.97	0	0	1369.97	0	1369.97	UT
Guru S Spool	waterworks-lamson	Reels	United States	Utah	8	1679.9	0	-329.98	1349.92	0	1349.92	UT
ULA Force	waterworks-lamson	Reels	United States	Utah	2	1219.98	0	0	1219.98	0	1219.98	UT
Liquid / Remix Spool	Waterworks Lamson	Reels	United States	Utah	20	1153.22	0	-102.82	1050.4	0	1050.4	UT
Radius	Waterworks Lamson	Rods	United States	Utah	2	859.98	0	0	859.98	0	859.98	UT
Speedster S Spool	Waterworks Lamson	Reels	United States	Utah	4	859.96	0	0	859.96	0	859.96	UT
Velocity	Waterworks Lamson	Rods	United States	Utah	2	929.98	-171.99	0	757.99	0	757.99	UT
Liquid/Remix Vapor Spool (Legacy)	Waterworks Lamson	Reels	United States	Utah	13	687.86	0	-55.99	631.87	0	631.87	UT
Centerfire HD	waterworks-lamson	Reels	United States	Utah	1	499.99	0	0	499.99	0	499.99	UT
Speedster S	Waterworks Lamson	Reels	United States	Utah	2	779.98	-311.99	0	467.99	0	467.99	UT
Neoprene Reel Case	Waterworks Lamson	Accessories	United States	Utah	36	446.64	0	0	446.64	0	446.64	UT
Speedster S Dark Smoke	Waterworks Lamson	Reels	United States	Utah	1	389.99	0	0	389.99	0	389.99	UT
Guru S HD	Waterworks Lamson	Reels	United States	Utah	1	329.99	0	0	329.99	0	329.99	UT
Liquid Max	LAMSON	Reels	United States	Utah	1	299.99	0	0	299.99	0	299.99	UT
Litespeed F Spool	Waterworks Lamson	Reels	United States	Utah	1	299.99	0	0	299.99	0	299.99	UT
Liquid S	LAMSON	Reels	United States	Utah	2	299.98	0	0	299.98	0	299.98	UT
Guru	LAMSON	Rods	United States	Utah	1	259.99	0	0	259.99	0	259.99	UT
Remix S	LAMSON	Reels	United States	Utah	1	239.99	0	0	239.99	0	239.99	UT
Multi Reel Case	Waterworks Lamson	Accessories	United States	Utah	11	224.89	0	0	224.89	0	224.89	UT
Liquid Vapor (Legacy)	Waterworks Lamson	Reels	United States	Utah	2	223.98	0	0	223.98	0	223.98	UT
Liquid Black (Legacy)	Waterworks Lamson	Reels	United States	Utah	2	195.98	0	0	195.98	0	195.98	UT
Guru Series II Spool (Legacy)	Waterworks Lamson	Reels	United States	Utah	2	175.98	0	0	175.98	0	175.98	UT
Ketchum ReleaseÂ®	Waterworks Lamson	Accessories	United States	Utah	8	159.92	0	0	159.92	0	159.92	UT
Speedster Spool (Legacy)	Waterworks Lamson	Reels	United States	Utah	1	136.79	0	0	136.79	0	136.79	UT
Purist Spool (Legacy)	Waterworks Lamson	Reels	United States	Utah	1	135.99	0	0	135.99	0	135.99	UT
Litespeed Alox II Spool (Legacy)	Waterworks Lamson	Reels	United States	Utah	1	135.99	0	0	135.99	0	135.99	UT
Litespeed G5 Bronze Spool (Legacy)	Waterworks Lamson	Reels	United States	Utah	1	284.78	0	-156.79	127.99	0	127.99	UT
Litespeed Series IV Spool (Legacy)	Waterworks Lamson	Reels	United States	Utah	1	127.99	0	0	127.99	0	127.99	UT
Fly Rod Sock 4 Piece Rod	Waterworks Lamson	Accessories	United States	Utah	3	107.94	0	-59.97	47.97	0	47.97	UT
Fabric Bag	Waterworks Lamson	Accessories	United States	Utah	7	30.93	0	0	30.93	0	30.93	UT
Logo Die Cut Decal - 12"	Waterworks Lamson	Accessories	United States	Utah	3	14.97	0	0	14.97	0	14.97	UT
Horizontal Logo Black Die Cut Sticker	LAMSON	Accessories	United States	Utah	2	10	0	0	10	0	10	UT
Logo Sticker	Waterworks Lamson	Accessories	United States	Utah	7	6.93	0	0	6.93	0	6.93	UT
Round Sticker	LAMSON	Accessories	United States	Utah	4	6	0	0	6	0	6	UT
Mini Bumper Sticker	LAMSON	Accessories	United States	Utah	4	6	0	0	6	0	6	UT
Assorted Logo Decal Sheet	LAMSON	Accessories	United States	Utah	1	5	0	0	5	0	5	UT
Centerfire Spool	Waterworks Lamson	Reels	United States	Utah	0	299.99	0	-299.99	0	0	0	UT
Guru Spool (Legacy)	Waterworks Lamson	Reels	United States	Utah	0	95.99	0	-95.99	0	0	0	UT
Remix HD	Waterworks Lamson	Reels	United States	Utah	0	185.63	0	-269.99	-84.36	0	-84.36	UT
Guru S HD	Waterworks Lamson	Reels	United States	Vermont	2	729.98	0	0	729.98	0	729.98	VT
Liquid	Waterworks Lamson	Reels	United States	Vermont	5	754.17	-56	0	698.17	0	698.17	VT
Speedster S	Waterworks Lamson	Reels	United States	Vermont	1	479.99	0	0	479.99	0	479.99	VT
Remix 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Vermont	2	383.98	0	0	383.98	0	383.98	VT
Guru S	Waterworks Lamson	Reels	United States	Vermont	1	299.99	0	0	299.99	0	299.99	VT
Speedster S Spool	Waterworks Lamson	Reels	United States	Vermont	1	229.99	0	0	229.99	0	229.99	VT
Remix HD	Waterworks Lamson	Reels	United States	Vermont	1	185.63	0	0	185.63	0	185.63	VT
Liquid / Remix Spool	Waterworks Lamson	Reels	United States	Vermont	3	209.97	-31.99	0	177.98	0	177.98	VT
Liquid 3-Pack Black (Legacy)	Waterworks Lamson	Reels	United States	Vermont	1	153.99	0	0	153.99	0	153.99	VT
Liquid 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Vermont	1	137.99	0	0	137.99	0	137.99	VT
Liquid Black (Legacy)	Waterworks Lamson	Reels	United States	Vermont	1	104.99	0	0	104.99	0	104.99	VT
Liquid/Remix Black Spool (Legacy)	Waterworks Lamson	Reels	United States	Vermont	1	55.99	0	0	55.99	0	55.99	VT
Liquid/Remix Vapor Spool (Legacy)	Waterworks Lamson	Reels	United States	Vermont	1	55.99	0	0	55.99	0	55.99	VT
Flat Bill Rope Cap - Seafoam With Red Rope	LAMSON	Apparel	United States	Vermont	1	34.99	0	0	34.99	0	34.99	VT
Multi Reel Case	Waterworks Lamson	Accessories	United States	Vermont	1	24.99	0	0	24.99	0	24.99	VT
Neoprene Reel Case	Waterworks Lamson	Accessories	United States	Vermont	2	23.98	0	0	23.98	0	23.98	VT
Liquid	Waterworks Lamson	Reels	United States	Virginia	15	2079.42	0	-139.99	1939.43	0	1939.43	VA
Remix 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Virginia	7	1560.13	0	0	1560.13	0	1560.13	VA
Liquid 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Virginia	6	1173.94	0	0	1173.94	0	1173.94	VA
Speedster S	Waterworks Lamson	Reels	United States	Virginia	2	829.98	0	0	829.98	0	829.98	VA
Litespeed M	Waterworks Lamson	Reels	United States	Virginia	1	729.99	0	0	729.99	0	729.99	VA
Guru S	Waterworks Lamson	Reels	United States	Virginia	2	649.98	0	0	649.98	0	649.98	VA
Remix HD 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Virginia	2	609.88	0	0	609.88	0	609.88	VA
Liquid / Remix Spool	Waterworks Lamson	Reels	United States	Virginia	11	572.11	0	0	572.11	0	572.11	VA
Guru Spool (Legacy)	Waterworks Lamson	Reels	United States	Virginia	5	486.35	0	0	486.35	0	486.35	VA
Liquid 3-Pack Black (Legacy)	Waterworks Lamson	Reels	United States	Virginia	3	482.97	0	0	482.97	0	482.97	VA
Cobalt	Waterworks Lamson	Rods	United States	Virginia	1	479.99	0	0	479.99	0	479.99	VA
Velocity	Waterworks Lamson	Rods	United States	Virginia	1	469.99	0	0	469.99	0	469.99	VA
Speedster S - Select Color 2023	waterworks-lamson	Reels	United States	Virginia	1	399.99	0	0	399.99	0	399.99	VA
Litespeed M Spool	Waterworks Lamson	Reels	United States	Virginia	1	364.99	0	0	364.99	0	364.99	VA
Litespeed G5 Blackout (Legacy)	Waterworks Lamson	Reels	United States	Virginia	1	314.99	0	0	314.99	0	314.99	VA
Remix	Waterworks Lamson	Reels	United States	Virginia	2	305.98	0	0	305.98	0	305.98	VA
Litespeed G5 Bronze Spool (Legacy)	Waterworks Lamson	Reels	United States	Virginia	2	284.78	0	0	284.78	0	284.78	VA
Guru Series II Spool (Legacy)	Waterworks Lamson	Reels	United States	Virginia	3	279.97	0	0	279.97	0	279.97	VA
Liquid/Remix Black Spool (Legacy)	Waterworks Lamson	Reels	United States	Virginia	5	279.95	0	0	279.95	0	279.95	VA
Guru	LAMSON	Rods	United States	Virginia	1	249.99	0	0	249.99	0	249.99	VA
Remix S	LAMSON	Reels	United States	Virginia	1	239.99	0	0	239.99	0	239.99	VA
Neoprene Reel Case	Waterworks Lamson	Accessories	United States	Virginia	15	197.85	0	0	197.85	0	197.85	VA
Liquid/Remix Vapor Spool (Legacy)	Waterworks Lamson	Reels	United States	Virginia	4	191.96	0	0	191.96	0	191.96	VA
Litespeed Series IV Spool (Legacy)	Waterworks Lamson	Reels	United States	Virginia	1	143.99	0	0	143.99	0	143.99	VA
Multi Reel Case	Waterworks Lamson	Accessories	United States	Virginia	6	119.94	0	0	119.94	0	119.94	VA
Ketchum ReleaseÂ®	Waterworks Lamson	Accessories	United States	Virginia	6	119.94	0	0	119.94	0	119.94	VA
Liquid Vapor (Legacy)	Waterworks Lamson	Reels	United States	Virginia	1	111.99	0	0	111.99	0	111.99	VA
Stripper Glove	Waterworks Lamson	Accessories	United States	Virginia	10	99.9	0	0	99.9	0	99.9	VA
Liquid Black (Legacy)	Waterworks Lamson	Reels	United States	Virginia	1	97.99	0	0	97.99	0	97.99	VA
Fly Rod Sock 4 Piece Rod	Waterworks Lamson	Accessories	United States	Virginia	4	75.96	0	0	75.96	0	75.96	VA
Color Sleeves	Waterworks Lamson	Accessories	United States	Virginia	5	49.95	0	0	49.95	0	49.95	VA
Mesh Reel Bag	Waterworks Lamson	Accessories	United States	Virginia	3	41.97	0	0	41.97	0	41.97	VA
Fabric Bag	Waterworks Lamson	Accessories	United States	Virginia	10	39.9	0	0	39.9	0	39.9	VA
Round Sticker	LAMSON	Accessories	United States	Virginia	1	1.5	0	0	1.5	0	1.5	VA
Logo Sticker	Waterworks Lamson	Accessories	United States	Virginia	1	0.99	0	0	0.99	0	0.99	VA
Force Spool (Legacy)	Waterworks Lamson	Reels	United States	Virginia	0	143.2	0	-143.2	0	0	0	VA
Liquid 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Washington	39	6767.85	-107.99	0	6659.86	0	6659.86	WA
Remix 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Washington	23	4789.45	0	0	4789.45	0	4789.45	WA
Liquid	Waterworks Lamson	Reels	United States	Washington	32	3681.52	0	0	3681.52	0	3681.52	WA
Remix	Waterworks Lamson	Reels	United States	Washington	18	3517.45	0	-185.63	3331.82	0	3331.82	WA
Speedster S - Select Color 2023	waterworks-lamson	Reels	United States	Washington	5	2589.94	0	-399.99	2189.95	0	2189.95	WA
Remix HD	Waterworks Lamson	Reels	United States	Washington	9	2114.73	0	0	2114.73	0	2114.73	WA
Velocity	Waterworks Lamson	Rods	United States	Washington	5	2299.95	-375.99	0	1923.96	0	1923.96	WA
Guru S Spool	waterworks-lamson	Reels	United States	Washington	10	1659.9	0	0	1659.9	0	1659.9	WA
Guru S	Waterworks Lamson	Reels	United States	Washington	6	1859.94	-239.99	0	1619.95	0	1619.95	WA
Liquid / Remix Spool	Waterworks Lamson	Reels	United States	Washington	28	1634.01	-17.99	-53.99	1562.03	0	1562.03	WA
Guru S HD	Waterworks Lamson	Reels	United States	Washington	4	1579.96	-214.99	0	1364.97	0	1364.97	WA
Speedster S Spool	Waterworks Lamson	Reels	United States	Washington	6	1249.94	0	0	1249.94	0	1249.94	WA
Litespeed F	Waterworks Lamson	Reels	United States	Washington	2	1079.98	0	0	1079.98	0	1079.98	WA
Centerfire	Waterworks Lamson	Reels	United States	Washington	3	1439.97	-383.99	0	1055.98	0	1055.98	WA
Liquid/Remix Vapor Spool (Legacy)	Waterworks Lamson	Reels	United States	Washington	19	1007.81	0	0	1007.81	0	1007.81	WA
Speedster S	Waterworks Lamson	Reels	United States	Washington	3	1179.97	-199.99	0	979.98	0	979.98	WA
Speedster S HD	Waterworks Lamson	Reels	United States	Washington	2	939.98	0	0	939.98	0	939.98	WA
Neoprene Reel Case	Waterworks Lamson	Accessories	United States	Washington	64	851.36	0	0	851.36	0	851.36	WA
ULA Purist	waterworks-lamson	Reels	United States	Washington	2	799.98	0	0	799.98	0	799.98	WA
Speedster S Dark Smoke	Waterworks Lamson	Reels	United States	Washington	2	919.98	-244.99	0	674.99	0	674.99	WA
Ketchum ReleaseÂ®	Waterworks Lamson	Accessories	United States	Washington	33	659.67	-15.99	0	643.68	0	643.68	WA
Litespeed G5 Blackout (Legacy)	Waterworks Lamson	Reels	United States	Washington	2	629.98	0	0	629.98	0	629.98	WA
Guru Series II Spool (Legacy)	Waterworks Lamson	Reels	United States	Washington	7	623.93	0	0	623.93	0	623.93	WA
Liquid 3-Pack Black (Legacy)	Waterworks Lamson	Reels	United States	Washington	4	615.96	0	0	615.96	0	615.96	WA
ULA Force	waterworks-lamson	Reels	United States	Washington	1	599.99	0	0	599.99	0	599.99	WA
Remix HD 3-Pack Fly Fishing Reel & Spools	Waterworks Lamson	Reels	United States	Washington	2	699.98	-143.99	0	555.99	0	555.99	WA
